ID,Collection,Description,Units,Timeframe,Source
WC2 Solar rad. Summer,WorldClim Version2,WorldClim solar radiation summer,kJ m-2 day-1,1970-2000,http://worldclim.org/version2
WC2 Water vap. Spring,WorldClim Version2,WorldClim water Vapor Pressure Spring,kPa,1970-2000,http://worldclim.org/version2
WC2 Water vap. Summer,WorldClim Version2,WorldClim water Vapor Pressure Summer,kPa,1970-2000,http://worldclim.org/version2
WC2 BIO1,WorldClim Version2,WorldClim BIO1 = Annual mean temperature,¡C,1970-2000,http://worldclim.org/version2
WC2 BIO2,WorldClim Version2,WorldClim BIO2 = Mean diurnal range,¡C,1970-2000,http://worldclim.org/version2
WC2 BIO3,WorldClim Version2,WorldClim BIO3 = Isothermality,¡C,1970-2000,http://worldclim.org/version2
WC2 BIO4,WorldClim Version2,WorldClim BIO4 = Temperature seasonality,¡C,1970-2000,http://worldclim.org/version2
WC2 BIO5,WorldClim Version2,WorldClim BIO5 = Max temperature of warmest month,¡C,1970-2000,http://worldclim.org/version2
WC2 BIO6,WorldClim Version2,WorldClim BIO6 = Min temperature of coldest month,¡C,1970-2000,http://worldclim.org/version2
WC2 BIO7,WorldClim Version2,WorldClim BIO7 = Temperature annual range,¡C,1970-2000,http://worldclim.org/version2
WC2 BIO8,WorldClim Version2,WorldClim BIO8 = Mean temperature of wettest quarter,¡C,1970-2000,http://worldclim.org/version2
WC2 BIO9,WorldClim Version2,WorldClim BIO9 = Mean temperature of driest quarter,¡C,1970-2000,http://worldclim.org/version2
WC2 BIO10,WorldClim Version2,WorldClim BIO10 = Mean temperature of warmest quarter,¡C,1970-2000,http://worldclim.org/version2
WC2 BIO11,WorldClim Version2,WorldClim BIO11 = Mean temperature of coldest quarter,¡C,1970-2000,http://worldclim.org/version2
WC2 BIO12,WorldClim Version2,WorldClim BIO12 = Annual precipitation,mm,1970-2000,http://worldclim.org/version2
WC2 BIO13,WorldClim Version2,WorldClim BIO13 = Precipitation of wettest month,mm,1970-2000,http://worldclim.org/version2
WC2 BIO14,WorldClim Version2,WorldClim BIO14 = Precipitation of driest month,mm,1970-2000,http://worldclim.org/version2
WC2 BIO15,WorldClim Version2,WorldClim BIO15 = Precipitation seasonality,mm,1970-2000,http://worldclim.org/version2
WC2 BIO16,WorldClim Version2,WorldClim BIO16 = Precipitation of wettest quarter,mm,1970-2000,http://worldclim.org/version2
WC2 BIO17,WorldClim Version2,WorldClim BIO17 = Precipitation of driest quarter,mm,1970-2000,http://worldclim.org/version2
WC2 BIO18,WorldClim Version2,WorldClim BIO18 = Precipitation of warmest quarter,mm,1970-2000,http://worldclim.org/version2
WC2 BIO19,WorldClim Version2,WorldClimBIO19 = Precipitation of coldest quarter,mm,1970-2000,http://worldclim.org/version2
CHELSA Tmin spring,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Minimum temperature spring,¡C,1979-2013,http://chelsa-climate.org/
CHELSA Tmin summer,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Minimum temperature summer,¡C,1979-2013,http://chelsa-climate.org/
CHELSA Tmax spring,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Maximum temperature spring,¡C,1979-2013,http://chelsa-climate.org/
CHELSA Tmax summer,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Maximum temperature summer,¡C,1979-2013,http://chelsa-climate.org/
CHELSA Tmean spring,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Average temperature spring,¡C,1979-2013,http://chelsa-climate.org/
CHELSA Tmean summer,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Average temperature summer,¡C,1979-2013,http://chelsa-climate.org/
CHELSA Interann. temp. ,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Interannual Temperature ,¡C,1979-2013,http://chelsa-climate.org/
CHELSA Pre. spring,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Precipitation Spring,mm,1979-2013,http://chelsa-climate.org/
CHELSA Pre. summer,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Precipitation Summer,mm,1979-2013,http://chelsa-climate.org/
CHELSA Interann. pre.,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Interannual precipitation ,mm,1979-2013,http://chelsa-climate.org/
CHELSA BIO1,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO1 = Annual mean temperature,¡C,1979-2013,http://chelsa-climate.org/
CHELSA BIO2,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO2 = Mean diurnal range,¡C,1979-2013,http://chelsa-climate.org/
CHELSA BIO3,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO3 = Isothermality,¡C,1979-2013,http://chelsa-climate.org/
CHELSA BIO4,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO4 = Temperature seasonality,¡C,1979-2013,http://chelsa-climate.org/
CHELSA BIO5,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO5 = Max temperature of warmest month,¡C,1979-2013,http://chelsa-climate.org/
CHELSA BIO6,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO6 = Min temperature of coldest month,¡C,1979-2013,http://chelsa-climate.org/
CHELSA BIO7,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO7 = Temperature annual range,¡C,1979-2013,http://chelsa-climate.org/
CHELSA BIO8,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO8 = Mean temperature of wettest quarter,¡C,1979-2013,http://chelsa-climate.org/
CHELSA BIO9,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO9 = Mean temperature of driest quarter,¡C,1979-2013,http://chelsa-climate.org/
CHELSA BIO10,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO10 = Mean temperature of warmest quarter,¡C,1979-2013,http://chelsa-climate.org/
CHELSA BIO11,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO11 = Mean temperature of coldest quarter,¡C,1979-2013,http://chelsa-climate.org/
CHELSA BIO12,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO12 = Annual precipitation,mm,1979-2013,http://chelsa-climate.org/
CHELSA BIO13,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO13 = Precipitation of wettest month,mm,1979-2013,http://chelsa-climate.org/
CHELSA BIO14,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO14 = Precipitation of driest month,mm,1979-2013,http://chelsa-climate.org/
CHELSA BIO15,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO15 = Precipitation seasonality (coefficient of variation),mm,1979-2013,http://chelsa-climate.org/
CHELSA BIO16,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO16 = Precipitation of wettest quarter,mm,1979-2013,http://chelsa-climate.org/
CHELSA BIO17,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO17 = Precipitation of driest quarter,mm,1979-2013,http://chelsa-climate.org/
CHELSA BIO18,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO18 = Precipitation of warmest quarter,mm,1979-2013,http://chelsa-climate.org/
CHELSA BIO19,CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO19 = Precipitation of coldest quarter,mm,1979-2013,http://chelsa-climate.org/
CRU Cld spring,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Cloud cover spring,%,1901-2006,http://www.cgiar-csi.org
CRU Cld summer,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Cloud cover summer,%,1901-2006,http://www.cgiar-csi.org
CRU Dtr spring,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Diurnal temperature range spring,_C,1901-2006,http://www.cgiar-csi.org
CRU Dtr summer,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Diurnal temperature range summer,_C,1901-2006,http://www.cgiar-csi.org
CRU Frs spring,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Frost day frequency spring,days,1901-2006,http://www.cgiar-csi.org
CRU Frs summer,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Frost day frequency summer,days,1901-2006,http://www.cgiar-csi.org
CRU Pre spring,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Precipitation spring,mm,1901-2006,http://www.cgiar-csi.org
CRU Pre summer,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Precipitation summer,mm,1901-2006,http://www.cgiar-csi.org
CRU Tmp spring,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Daily mean temperature spring,_C,1901-2006,http://www.cgiar-csi.org
CRU Tmp summer,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Daily mean temperature summer,_C,1901-2006,http://www.cgiar-csi.org
CRU Tmn spring,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Monthly average daily minimum temperature spring,_C,1901-2006,http://www.cgiar-csi.org
CRU Tmn summer,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Monthly average daily minimum temperature summer,_C,1901-2006,http://www.cgiar-csi.org
CRU Tmx spring,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Monthly average daily maximum temperature spring,_C,1901-2006,http://www.cgiar-csi.org
CRU Tmx summer,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Monthly average daily maximum temperature summer,_C,1901-2006,http://www.cgiar-csi.org
CRU Vap spring,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Vapour pressure spring,hPa,1901-2006,http://www.cgiar-csi.org
CRU Vap summer,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Vapour pressure summer,hPa,1901-2006,http://www.cgiar-csi.org
CRU Wet spring,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Wet day frequency spring,days,1901-2006,http://www.cgiar-csi.org
CRU Wet summer,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Wet day frequency summer,days,1901-2006,http://www.cgiar-csi.org
CRU PET spring,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Potential evapotranspiration spring,mm,1901-2006,http://www.cgiar-csi.org
CRU PET summer,Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Potential evapotranspiration summer,mm,1901-2006,http://www.cgiar-csi.org
Bedrock Topography,ETOPO1,Bedrock topography,meters,NA,https://www.ngdc.noaa.gov/mgg/global/
FAO dNPPdP,FAO World maps of climatological net primary production of biomass,FAO Sensitivity of NPP with respect to changes in annual mean Precipitation dNPP/dT,g/m2/mm,NA,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm
FAOdNPPdT,FAO World maps of climatological net primary production of biomass,FAO Sensitivity of NPP with respect to changes in annual mean temperature dNPP/dT,g/m2/_C,NA,
FAO CRU NPP,FAO World maps of climatological net primary production of biomass,FAO NPP based on CRU,g/m2,NA,
FAO GPCP NPP,FAO World maps of climatological net primary production of biomass,FAO NPP based on GPCP,g/m2,NA,
FAO GPCP VASClimO NPP,FAO World maps of climatological net primary production of biomass,FAO NPP based on GPCP VASClimO,g/m2,NA,
FAO GPCC VASClimO Precipitation,FAO Koeppen Climatology,FAO GPCC VASClimO Precipitation,mm,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm
FAO CRU Precipitation,FAO Koeppen Climatology,FAO CRU Precipitation,mm,1976 - 2000,
FAO CRU Temperature,FAO Koeppen Climatology,FAO CRU Temperature,_C,1976 - 2000,
FAO GPCC Fulldata Precipitation,FAO Koeppen Climatology,FAO GPCC Fulldata Precipitation,mm,1976 - 2000,
FAO Aridity index De Martonne CRU,FAO Koeppen Climatology,FAO Aridity index of De Martonne CRU,Index,1976 - 2000,
FAO Aridity index De Martonne GPCC Fulldata,FAO Koeppen Climatology,FAO Aridity index of De Martonne GPCC Fulldata,Index,1976 - 2000,
FAO Aridity index of De Martonne GPCC VASClimO,FAO Koeppen Climatology,FAO Aridity index of De Martonne GPCC VASClimO,Index,1976 - 2000,
HWSD Topsoil ref. bulk dens.,FAO Harmonized World Soil Database v 1.2,HWSD Topsoil reference bulk density,kg/dm3,,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/
HWSD Topsoil clay fraction,FAO Harmonized World Soil Database v 1.2,HWSD Topsoil clay fraction,%,,
HWSD Topsoil gravel content,FAO Harmonized World Soil Database v 1.2,HWSD Topsoil gravel content,%,,
HWSD Topsoil silt fraction ,FAO Harmonized World Soil Database v 1.2,HWSD Topsoil silt fraction,%,,
HWSD Topsoil sand fraction,FAO Harmonized World Soil Database v 1.2,HWSD Topsoil_sand_fraction,%,,
HWSD Topsoil organic carbon,FAO Harmonized World Soil Database v 1.2,HWSD Topsoil organic carbon,%,,
HWSD Topsoil pH,FAO Harmonized World Soil Database v 1.2,HWSD Topsoil pH,#-log(H+),,
HWSD Subsoil ref bulk dens.,FAO Harmonized World Soil Database v 1.2,HWSD Subsoil reference bulk density,kg/dm3,,
HWSD Subsoil clay fraction,FAO Harmonized World Soil Database v 1.2,HWSD Subsoil clay fraction,%,,
HWSD Subsoil gravel content,FAO Harmonized World Soil Database v 1.2,HWSD Subsoil gravel content,%,,
HWSD Subsoil silt fraction,FAO Harmonized World Soil Database v 1.2,HWSD Subsoil silt fraction,%,,
HWSD Subsoil sand fraction,FAO Harmonized World Soil Database v 1.2,HWSD Subsoil sand fraction,%,,
HWSD Subsoil organic carbon,FAO Harmonized World Soil Database v 1.2,HWSD Subsoil organic carbon,%,,
HWSD Subsoil pH,FAO Harmonized World Soil Database v 1.2,HWSD Subsoil pH,#-log(H+),,
HWSD Spatially dominan major soil group FAO,FAO Harmonized World Soil Database v 1.2,HWSD Spatially dominant major soil group FAO,,,
ISRIC-WISE Soil carbonate carbon dens.,GLOBAL DATA SET OF DERIVED SOIL PROPERTIES (ISRIC WISE),ISRIC WISE Soil carbonate carbon density ,kg C/m**2 for 0-100cm depth range,,
ISRIC-WISE Soil org. carbon dens.,GLOBAL DATA SET OF DERIVED SOIL PROPERTIES (ISRIC WISE),ISRIC WISE  Soil organic carbon density  (0-30 cm depth range), kg C/m**2 for 0-100cm depth range,,
ISRIC-WISE Soil pH,GLOBAL DATA SET OF DERIVED SOIL PROPERTIES (ISRIC WISE),ISRIC WISE  Soil pH (0-30 cm depth range), 0-30 cm depth range,,
ISRIC-WISE Total avail.water cap.,GLOBAL DATA SET OF DERIVED SOIL PROPERTIES (ISRIC WISE),ISRIC WISE  Total available water capacity ,mm water per 1 m soil depth,,
SoilGrids BDRICM,ISRIC Soilgrids,SoilGrids absolute depth to bedrock,cm,,ftp://ftp.soilgrids.org/data/recent/
SoilGrids BLDFIE,ISRIC Soilgrids,SoilGrids bulk density,kg/m3,,
SoilGrids CECSOL ,ISRIC Soilgrids,SoilGrids cation exchange capacity of soil,meq/100 g,,
SoilGrids CLYPPT,ISRIC Soilgrids,SoilGrids clay content,%,,
SoilGrids CRFVOL,ISRIC Soilgrids,SoilGrids course fragments volumetric,%,,
SoilGrids OCSTHA,ISRIC Soilgrids,SoilGrids soil organic carbon stock per ha,kg/m3,,
SoilGrids ORCDRC ,ISRIC Soilgrids,SoilGrids soil organic carbon content,ä,,
SoilGrids PHIHOX,ISRIC Soilgrids,SoilGrids soil pH H2O,#-log(H+),,
SoilGrids PHIKCL,ISRIC Soilgrids,SoilGrids soil pH KCL,#-log(H+),,
SoilGrids SLTPPT,ISRIC Soilgrids,SoilGrids silt content,%,,
SoilGrids SNDPPT,ISRIC Soilgrids,SoilGrids sand content,%,,
SoilGrids TAXNWRB ,ISRIC Soilgrids,SoilGrids observed taxonomic class in the WRB system,Qualitative,,
SoilGrids TAXOUSDA ,ISRIC Soilgrids,SoilGrids observed taxonomic class in the USDA system,Qualitative,,
GAEZ Nutrient availability,FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Nutrient availability,1: No or slight limitations,,
GAEZ Nutrient retention capacity,FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Nutrient retention capacity,2: Moderate limitations,,
GAEZ Rooting conditions,FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ  Rooting conditions,3: Sever limitations,,
GAEZ Oxygen availability to roots,FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Oxygen availability to roots,4: Very severe limitations,,
GAEZ Excess salts,FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Excess salts,5: Mainly non-soil,,
GAEZ Toxicity,FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Toxicity,6: Permafrost area,,
Plant-Extractable Water Capacity of Soil,Global Distribution of Plant-Extractable Water Capacity of Soil,Global Distribution of Plant-Extractable Water Capacity of Soil,cm water per cm soil,,
IGBP-DIS Soil pH,IGBP-DIS,IGBP-DIS Soil pH,#-log(H+),,https://nelson.wisc.edu/sage/data-and-models/atlas/maps.php?datasetid=20&includerelatedlinks=1&dataset=20
Suitability for Agriculture,Suitability for Agriculture,Suitability for Agriculture,Index,,
Growing degree-days,CRU growing degree days,CRU Growing degree-days above 5Ê¡C,days,,
Distance to the coast,"A Global Self-consistent, Hierarchical, High-resolution Geography Database (GSHHG) Version 2.3.7 ",GSHHG distance to the coast,Km,,http://www.soest.hawaii.edu/wessel/gshhg/
