Category	ID	Units	Description	Scoring	Reference				
Li et. al. PNAS 2010	Flowering time Sweden 2008 1st experiment	day	Flowering time in simulated seasons	FT was recorded daily as days to flower after germination	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Flowering time Sweden 2008 2nd experiment	day	Flowering time in simulated seasons	FT was recorded daily as days to flower after germination	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Flowering time Sweden 2009 1st experiment	day	Flowering time in simulated seasons	FT was recorded daily as days to flower after germination	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Flowering time Sweden 2009 2nd experiment	day	Flowering time in simulated seasons	FT was recorded daily as days to flower after germination	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Size Spain 2009 1st experiment	centimeter (cm)		Plant size was scored in cm	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Size Spain 2009 2nd experiment	centimeter (cm)		Plant size was scored in cm	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Size sweden 2009 1st experiment	centimeter (cm)		Plant size was scored in cm	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Size sweden 2009 2nd experiment	centimeter (cm)		Plant size was scored in cm	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Yield Spain 2009 1st experiment	gram (g)	Flowering time in simulated seasons	Yield was recorded as dry seed weight in grams	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Yield Spain 2009 2nd experiment	gram (g)	Flowering time in simulated seasons	Yield was recorded as dry seed weight in grams	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Yield Sweden 2009 1st experiment	gram (g)	Flowering time in simulated seasons	Yield was recorded as dry seed weight in grams	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Yield sweden 2009 2nd experiment	gram (g)	Flowering time in simulated seasons	Yield was recorded as dry seed weight in grams	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Yield Planting Summer 2009	gram (g)	Flowering time in simulated seasons	Yield was recorded as dry seed weight in grams	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Yield Loc Sweden 2009	gram (g)	Flowering time in simulated seasons	Yield was recorded as dry seed weight in grams	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Yield Main Effect 2009 	gram (g)	Flowering time in simulated seasons	Yield was recorded as dry seed weight in grams	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Yield Planting Summer Loc Sweden 2009	gram (g)	Flowering time in simulated seasons	Yield was recorded as dry seed weight in grams	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Strauch et. al. PNAS 2015	M216T665	M216T665	"22 ¡C and 50% humidity under long-day conditions (16 h light, 8 h dark)"	concentration unit	"Strauch R.C., Svedin E., Dilkes B., Chapple C. & Li X. (2015) Discovery of a novel amino acid racemase through exploration of natural variation in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 112, 11726-11731."	TO:0000281	metabolite content trait	"""The trait associated with an assay to determine the affected metabolite's profile."" [GR:pj]"	
Strauch et. al. PNAS 2015	M130T666	M130T666	"22 ¡C and 50% humidity under long-day conditions (16 h light, 8 h dark)"	concentration unit	"Strauch R.C., Svedin E., Dilkes B., Chapple C. & Li X. (2015) Discovery of a novel amino acid racemase through exploration of natural variation in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 112, 11726-11731."	TO:0000281	metabolite content trait	"""The trait associated with an assay to determine the affected metabolite's profile."" [GR:pj]"	
Strauch et. al. PNAS 2015	M172T666	M172T666	"22 ¡C and 50% humidity under long-day conditions (16 h light, 8 h dark)"	concentration unit	"Strauch R.C., Svedin E., Dilkes B., Chapple C. & Li X. (2015) Discovery of a novel amino acid racemase through exploration of natural variation in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 112, 11726-11731."	TO:0000281	metabolite content trait	"""The trait associated with an assay to determine the affected metabolite's profile."" [GR:pj]"	
"Atwell et. al, Nature 2010: Ionomics"	Lithium (Li7) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Boron (B11) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Sodium (Na23) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Magnesium (Mg25) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Phosphorus (P31) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Sulfur (S34) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Potassium (K39) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Calcium (Ca43) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Manganese (Mn55) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Iron (Fe56) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Colbalt (Co59) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Nickel (Ni60) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Copper (Cu65) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Zinc (Zn66) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Arsenic (As75) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Selenium (Se82) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Molybdenum (Mo98) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Ionomics"	Cadmium (Cd114) 	(µg g-1 DW)	"20¡C, 16 hrs daylight."	Elemental analysis was performed with an ICP-MS (PerkinElmer). All samples were normalized to calculated weights as previously described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Fresh weight	 (g)	Plants were grown for 7 weeks at 23¡C 	"Six fully-expanded, non-lesioned leaves were collected from each of four plants for each accession, and weighed to obtain the fresh weight measurements. Leaves were then dried overnight at 85_C, and weighed again to obtain the dry weight measurements. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Dry weight	 (g)	Plants were grown for 7 weeks at 23¡C 	"Six fully-expanded, non-lesioned leaves were collected from each of four plants for each accession, and weighed to obtain the fresh weight measurements. Leaves were then dried overnight at 85_C, and weighed again to obtain the dry weight measurements. The results are the average of 4 plants / accession. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Seed dormancy	days	"Seeds stored in cellulose paper bags and kept in a dark incubator at 20¡C, 40% relative humidity1. "	"Number of days of seed dry storage required to reach 50% germination, or DSDS50 value36. The measurement for each genotype was calculated as the average value across all available replicates. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Germination at 10¡C	days	"Stratified for 3 days at 4¡C in the dark, followed by growth at 10¡C with 16 hrs daylight1. "	Days from removal from stratification until emergence of first cotyledon 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Germination at 16¡C	days	"Stratified for 3 days at 4¡C in the dark, followed by growth at 16¡C with 16 hrs daylight1. "	Days from removal from stratification until emergence of first cotyledon 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Germination at 22¡C	days	"Stratified for 3 days at 4¡C in the dark, followed by growth at 22¡C with 16 hrs daylight1. "	Days from removal from stratification until emergence of first cotyledon 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Seedling growth rate	cm2/day	Seeds were grown for one week in the greenhouse under long day (16 hours light). 	Seedling growth rate was given by leaf area at the beginning of the cold treatment and divided by the number of days of growth since sowing ( in cm2/day). 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Vegetative growth rate during vernalization	%	"Seeds were grown for one week in the greenhouse under long day (16 hours light), vernalized for 4 weeks (4¡C, 16h light, 50% relative humidity)."	Vegetative growth rate during vernalization was estimated as the increment of cm2 leaf area per day between first day and last day of vernalization 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Vegetative growth rate after vernalization	%	"Seeds were grown for one week in the greenhouse under long day (16 hours light), vernalized for 4 weeks (4¡C, 16h light, 50% relative humidity)and then returned to greenhouse. "	Vegetative growth rate after vernalization was estimated as the increment of cm2 leaf area per day between last day of vermalization and the seventh day after vernalization in greenhouse. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Secondary dormancy	%	Fully after-ripened seeds were treated with a 1 and 6-week long exposure to 4¡C 	Secondary dormancy was given by the slope between the germination percentages of non-dormant seeds after one and six weeks of cold treatment. Viability of non germinating seeds after cold treatment was confirmed as described.	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Germination in the dark after cold exposure	%	"4¡C, in the dark. "	"The ability to germinate in the dark at 4¡C was measured as the percentage of non dormant seeds that can germinate during 1-week long cold exposure, in the absence of light. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	DSDS50 	days	"Dry storage, followed by 25¡C, 12h day, 20_C, 12h night for 1 week "	"Number of days of seed dry storage required to reach 50% germination, or DSDS50 value. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Primary dormancy after 7 days of dry storage	%	7 days dry storage	Primary dormancy was measured as the progressive increase of germination rate measured after 7 days of dry storage. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Primary dormancy after 28 days of dry storage	%	28 days dry storage	Primary dormancy was measured as the progressive increase of germination rate measured after 28 days of dry storage. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Primary dormancy after 56 days of dry storage	%	56 days dry storage	Primary dormancy was measured as the progressive increase of germination rate measured after 56 days of dry storage. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Hypocotyl length	cm	"Seeds were vapour sterilized, plated in a random design on 1/2 MS agar plates (-sucrose), stratified for 4 days at 4¡C in the dark, before transferring to photocycles (12 h 100 _ E/m2s cool white light / 12 hours dark) and thermocycles (12 h 22¡C / 12 h 12¡C) "	"After 7 days growth under the photocycle and thermocycle treatment, plants were flattened directly on the agar and imaged on a flatbed scanner. Hypocotyl lengths were determined using NIH Image. "	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Diameter at 10 ¡C	cm	Plants were grown at 10¡C with 16 hrs daylight1 	The diameters of 4 plants of each accession were measured at each temperature and the results were expressed as an average value across all available replicates.Plants were scored 8 weeks post germination for plants grown at 10¡C (when the plants were mature). 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Diameter at 22 ¡C	cm	Plants were grown at 22¡C with 16 hrs daylight1 	The diameters of 4 plants of each accession were measured at each temperature and the results were expressed as an average value across all available replicates.Plants were scored 5 weeks post germination for plants grown at 22¡C (when the plants were mature). 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
"Atwell et. al, Nature 2010: Developmental"	Silique lenght at 16¡C	cm	Plants were grown at 16¡C with 16 hrs daylight. 	The average length of 4 siliques was measured for each accession after growth had concluded. 	"Atwell S., Huang Y.S., Vilhj‡lmsson B.J., Willems G., Horton M., Li Y., Meng D., Platt A., Tarone A.M. & Hu T.T. (2010) Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines. Nature, 465, 627-631."				
